Date,Job Number,Customer,Address,Postcode,Activity,Priority,Source File,Notes
25/09/2024,3944144,Xerox (UK) Technical***DO NOT INVOICE****,"Piccadilly Station, Pharmacy Printer, MANCHESTER",M1 2BN,CONSUMABLE INSTALL,,Runsheet_Daniel_Hanson_25092024.pdf,Marked as DNCO - no payment on date with other paid jobs
25/09/2022,2898167,Fujitsu Services Limited - Vodafone,"(MANCHESTER,MARKET ST, EXPERIENCE STORE), Manchester Experience Store, 25, Market Street , Greater, Manchester , England, LANCASHIRE, Manchester",M1 1WR,TECH EXCHANGE,ND 1900,Runsheet_Daniel_Hanson_25092022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/09/2022,2898448,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, THREE TUNS LANE SEFTON, FORMBY, WAITROSE FORMBY, MERSEYSIDE",L37 4AJ,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_25092022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/09/2022,2898574,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE ALTRINCHAM, ALTRINCHAM",WA14 5ZL,TECH EXCHANGE,,Runsheet_Daniel_Hanson_25092022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2024,3904065,Computacenter PwC NON TECH EXCHANGE,"1Naseeruddin Kaleemulla, LLP (0081073, C/O UK IT TECH SUPPORT 1, Hardman Sq uare, C/O UK IT TECH SUPPORT 1, Hardman Sq uare",M3 3EB,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_25082024.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2024,3904095,Computacenter PwC NON TECH EXCHANGE,"1Naseeruddin Kaleemulla, LLP (0081073, C/O UK IT TECH SUPPORT 1, Hardman Sq uare, C/O UK IT TECH SUPPORT 1, Hardman Sq uare",M3 3EB,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_25082024.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2024,3904136,Computacenter PwC NON TECH EXCHANGE,"1Naseeruddin Kaleemulla, LLP (0081073, C/O UK IT TECH SUPPORT 1, Hardman Sq uare, C/O UK IT TECH SUPPORT 1, Hardman Sq uare",M3 3EB,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_25082024.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2023,3419321,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE LTD THE PARADE, LONDON, WAITROSE ALDERLEY EDGE, ALDERLEY EDGE, Incident INC5948203 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.     Web logging   Model number:, TC51   Serial Number (S/N): 18116522506381   MAC Address: 94:FB:29:2F:2F:D6, Fault/Attempted Triage:Failing to install products%5Creprocessed but keeps failing, Serialnumber:  DeviceCountry:  DeviceZIP:  DeviceCity:  DeviceStreet:  DeviceRoom:, DeviceContactPerson:  DeviceCPPhone:  DeviceDescription: POS DesiredDate:, PART, PART",SK9 7JX,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Friday 25th August 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2317187,Secure Retail Limited,"MANCHESTER, HONEST BURGERS, MANCHESTER, MANCHESTER",M3 3BT,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2318715,Fujitsu Services Limited - EE - ME,,,TECH EXCHANGE,ND 1900,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2318956,International Transaction System Limited,"THE ATRIUM, MANCHESTER",M1 6JD,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319091,Verifone UK LTD,"0161 877 3585PIZZA EXPRESS - 3031 -, SALFORD, G38 MANCHESTER OUTLET, MALL, THE LOWRY GALLERIA, THE LOWRY GALLERIA",M50 3AZ,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319093,Verifone UK LTD,"0161 877 3585PIZZA EXPRESS - 3031 -, SALFORD, G38 MANCHESTER OUTLET, MALL, THE LOWRY GALLERIA, THE LOWRY GALLERIA",M50 3AZ,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319094,Verifone UK LTD,"ARCH 7, DEANSGATE LOCK,, WHITWORTH STREET,, MANCHESTER, MANCHESTER",M1 5LH,TECH EXCHANGE,ND 1800,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319173,DHL Supply Chain Limited - RBS,"0Humayra Khalifa, 074158 459879The Royal Bank of Scotland Plc, The Royal Bank of Scotland Plc, 1 Hardman Boulevard, Manchester",M3 3AQ,COLLECTION,ND 1400,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319340,Computacenter Limited,"1Michala Goodwin, (008102783, 22 King Street,, 22 King Street,",M32 8AD,TECH EXCHANGE,ND 1500,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319517,Computacenter PwC,"1Gary Mercer, LLP (0081073, C/O UK IT TECH SUPPORT 1, Hardman Sq uare, C/O UK IT TECH SUPPORT 1, Hardman Sq uare",M3 3EB,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/08/2021,2319520,Computacenter Limited,"1Paul Moore, (008102783, Westminster House, Westminster House",M1 3HU,TECH EXCHANGE,ND 1500,Runsheet_DanielHanson25082021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/07/2025,4207863,HCL Barclays,"Craig Williams, 15 Llys Pengarth, Mold",CH7 6GX,DELIVERY,,RUN SHEETS - WARRINGTON - FRIDAY 25th JULY 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/07/2023,3373740,Xerox (UK) Technical***DO NOT INVOICE****,"1 Terry Warren, Lower Lane, Bluebell house 2nd floor, CT/MR Department, LIVERPOOL",L9 7AL,REPAIR WITH PARTS,,Runsheet_Daniel_Hanson_25072023 (1).pdf,Marked as DNCO - no payment on date with other paid jobs
25/07/2022,2800417,Lexmark Service Provider,"HASLINGDEN ROAD, TESCO Stores Limited, HASLINGDEN",BB4 6LY,CONSUMABLE INSTALL,ND 1700,Runsheet_DanielHanson25072022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/07/2022,2800460,Fujitsu Services Limited - Hutchinson 3G,"FURNESS II BARROW IN FURN, 153-155 DALTON ROAD, CUMBRIA, BARROW IN FURNESS",LA14 1PU,TECH EXCHANGE,,Runsheet_DanielHanson25072022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/06/2022,2755350,CXM,"3DAVID/JENNYUNKNOWN, NUMBER FIFTEEN ST ANNES, LYTHAM ST ANNES",FY8 1RF,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson25062022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/05/2025,4166071,Computacenter Limited,"01942 821567B & Q PLC, FRITH STREET, WIGAN",WN5 0XN,TECH EXCHANGE,ND 1600,DH_25-05-2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/05/2025,4166089,Computacenter - Kingfisher,"0161 371 0082 B&Q, B & Q PLC, UNIT 3, SNIPE WAY, ASHTON-UNDER-LYNE",OL7 0DN,TECH EXCHANGE,ND 1700,DH_25-05-2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/05/2022,2708485,Lexmark Service Provider,"North Road Industrial Estate, Physical Location: Design, SAICA PAPER UK LTD., ELLESMERE PORT",CH65 1AB,CONSUMABLE INSTALL,,Runsheet_DanielHanson25052022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/05/2021,2204415,Lantec,MANCHESTER,M45 8QP,INSTALL,ND 1700,Runsheet_DanielHanson25052021.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2024,3750830,Fujitsu - Star – TFW - TC,"(Holyhead), Station Approach, Gwynedd, Holyhead",LL65 1DQ,TECH EXCHANGE,ND 1900,Runsheet_14_runs_2024_04_25.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2023,3239924,Computacenter Limited,"1Maria Combe, (008102783, 37 Overlinks Drive, 37 Overlinks Drive",M6 7PF,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_25042023.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2023,3240377,DHL Supply Chain Limited - RBS,"0Emily Barker, HOME ADDRESS, 7 Crombouke Fold ,  ,, Worsley",M28 1ZE,COLLECTION,ND 1300,Runsheet_Daniel_Hanson_25042023.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2023,3240557,Diebold Nixdorf  UK Limited,"BOOKER CASH & CARRY, BOOKER CASH & CARRY, LIVERPOOL ROAD, MANCHESTER_MAKRO570, BARTON MOSSECCLES",M30 7RT,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_25042023.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2657989,Computacenter Horizon Project,"Flat 106,, The Reach, 39 Leed street",L3 2DB,COLLECTION,ND 1700,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2658958,Fujitsu GBL - H&M * DO NOT INVOICE*,"H & M, LORD STREET, LIVERPOOL",L2 6PG,TECH EXCHANGE,ND 1900,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659128,CDW - DWP,"LIVERPOOL NORRIS GREEN, BECHERS HOUSE LTD, STOPGATE LANE, AINTREE, LIVERPOOL",L9 7ET,COLLECTION,ND 1700,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659185,Computacenter - Home Office Collections,"2Wendy Austin, 0161 886 0413THE HOME OFFICE., (0081058156), CAPITAL BUILDING 39 Old Hall, St,, CAPITAL BUILDING 39 Old Hall, St,, request_number: REQ0641837 requeed_item_number: RITM0797618No Instructions",L3 9PP,COLLECTION,ND 1700,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659317,DHL Supply Chain Limited - RBS,"0Katie Kelly, Home Address, 12 Goodacre road ,  ,, Aintree, Liverpool",L9 0HQ,COLLECTION,ND 1700,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659342,Fujitsu GBL - H&M * DO NOT INVOICE*,"H & M, UNIT 8B, NEW MERSEY RETAIL PARK, LIVERPOOL",L24 8QB,,,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659377,CDW - DWP,"BOOTLE DBC, ST. MARTINS HOUSE, STANLEY PRECINCT, BOOTLE",L69 9BN,COLLECTION,ND 1700,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659528,Hemmersbach UK Ltd - PM Kit,"ST HELENS COUNCIL, HARDSHAW BROOK, DEPOT PARR STREET, ST HELENS",WA9 1JR,INSTALL,,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/04/2022,2659670,Computacenter Limited,"1Ahmed Hussein, (008102783, 3 Coronet Way, 3 Coronet Way",WA8 8BA,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson25042022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/03/2025,4121702,DieboldNixdorf_WIPRO,"0HELEN%20ASHCROFT, JOHN LEWIS, JOHN LEWIS, ONE 70 SOUTH JO, JL030 LIVERPOOL, LIVERPOOL, Location: In the Locker, 030 - Liverpool Issue: PED has blue screen and irruption showing Incident INC6573197, has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.",L1 8BJ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - TUESDAY 25th MARCH 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/02/2022,2571426,Diebold Nixdorf  UK Limited,"BOOKER CASH & CARRY, BOOKER CASH & CARRY, CHESTER ROAD EAST, QUEENSFERRY_MAKRO599, QUEENSFERRYCHESTER, check setups and test prior to any part replacement ###  Site: 599 Queensferry (Makro), Caller: Tricia Rees  Contact Number: 01244834224  Make and Model: MS621 - printer1, Description of issue: A message of  Replace maintenance kit  flashing on display, intermittently but still printing. As we do not have kits for these model printers a call is, raised for printer to be replaced.   Anita Hall confirmed a HW call.INC7675949, PART, PART",CH5 2DA,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson25022022.pdf,Marked as DNCO - no payment on date with other paid jobs
25/01/2025,4075093,DieboldNixdorf_WIPRO,"-WIPRO LIMITED, WIPRO LIMITED, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE, placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.INC6515842, PART, PART",SK8 3BZ,COLLECTION,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 25th JANUARY 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/01/2025,4075094,DieboldNixdorf_WIPRO,"-WIPRO LIMITED, WIPRO LIMITED, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE, placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.INC6515839, PART, PART",SK8 3BZ,COLLECTION,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 25th JANUARY 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/01/2025,4075705,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE, Serial Number: 192577303461103311068428 Asset Number: PAN00096652 Model, Ingenico 2500 Location: CH1-48-PED Cheadle Issue: There is paper/debris trapped at the, bottom of the card entry slot, and we are unable to get it out. Means transactions can%27t be done as debit/credit cards, won%27t fit in the slot all the way. Incident INC6516367 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold. DN Engineer to replace Ingenico, L2500 PN 1900001941",SK8 3BZ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 25th JANUARY 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
25/01/2025,4075737,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE, Serial Number: 192577303461103311071797 Asset Number: PAN00096648 Model, Ingenico 2500 Issue: Blue irruption error message on screen - unable to use PED Incident, INC6516374 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold. DN Engineer to replace Ingenico, L2500 PN 1900001941",SK8 3BZ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 25th JANUARY 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2024,4047650,Fujitsu GBL - H&M * DO NOT INVOICE*,"GB0649: H&M Warrington, UNIT 57 GOLDEN SQUARE, SHOPPING CENTRE, Warrington",WA1 1QP,,,RUN SHEETS - WARRINGTON - TUESDAY 24th DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2023,3595931,DieboldNixdorf_WIPRO,,,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Sunday 24th December 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053314,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE ALTRINCHAM, ALTRINCHAM, PART, PART",WA14 5ZL,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053320,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE ALTRINCHAM, ALTRINCHAM, PART, PART",WA14 5ZL,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053564,Vista Retail Support Limited,"NEXT, 84 THE LINKWAY,, MIDDLEBROOK RETAIL PARK,, HORWICH, BOLTON",BL6 6JA,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053691,CDW,"1KASIE (ADMIN), MCDONALDS RESTAURANTS, OCEAN PLAZA, MARINE PARADE, SOUTHPORT",PR8 1SA,TECH EXCHANGE,,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053847,Vista Retail Support Limited,"DUNELM, 1-3 ROUND HILL WAY, BOLTON GATE RETAIL PARK, BOLTON",BL1 2SL,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053939,Verifone UK LTD,"07891 194907STONEGATE - POPWORLD, WIGAN - 9, 1-3 KING STREET WIGAN, 1-3 KING STREET WIGAN, GREATER MANCHESTER",WN1 1DY,TECH EXCHANGE,ND 1800,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2022,3053941,Verifone UK LTD,"01942 491725STONEGATE - POPWORLD, WIGAN - 9, 1-3 KING STREET WIGAN, 1-3 KING STREET WIGAN, GREATER MANCHESTER",WN1 1DY,TECH EXCHANGE,ND 1800,Runsheet_Daniel_Hanson_24122022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/12/2021,2482959,Fujitsu Services Limited - Wilko (ME),,,TECH EXCHANGE,,Runsheet_24-12_runs.pdf,Marked as DNCO - no payment on date with other paid jobs
24/11/2024,4020125,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE LTD THE PARADE, LONDON, WR560 ALDERLEY EDGE, ALDERLEY EDGE",SK9 7JX,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SUNDAY 24th NOVEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/11/2024,4020196,DieboldNixdorf_WIPRO,"CHEADLE WILMSLOW ROAD, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE, Number: 192087303461103310424028 Asset Number: PAN00096326 Model Ingenico, 2500 Location: Traka Locker Number & Door Number: CH3-9-PED Issue: Battery drains, very quickly. Goes from full bars battery icon to one bar battery in a few minutes of being, unplugged, not even used. Incident INC6463438 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold. DN Engineer to replace Ingenico, L2500 PN 1900001941",SK8 3BZ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SUNDAY 24th NOVEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/11/2022,3001169,Lexmark Service Provider,"1Martin Haggath, Dabholme Road, Teesport - GRND, Work Station 4, CLEVELAND",TS6 6UD,REPAIR WITH PARTS,8HR,Runsheet_Gateshead_ Daniel_Hanson_Thursday 24th November 2022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/10/2024,3975023,Computacenter - Proj Evergreen,"LLANDUDNO, LLANDUDNO",LL30 2SF,COLLECTION,ND 1700,Runsheet_Daniel_Hanson_24102024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/10/2024,3981447,Fujitsu Services Limited - Star Trains,"Bedford Road, MERSEYSIDE, Birkenhead",CH42 2AT,TECH EXCHANGE,ND 1900,Runsheet_Daniel_Hanson_24102024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/09/2021,2357486,HCL Barclays,"BARCLAYS BANK PLC, CADISHEAD, MANCHESTER",M44 5AN,TECH EXCHANGE,,Runsheet_DanielHanson24092021.pdf,Marked as DNCO - no payment on date with other paid jobs
24/07/2024,3863280,Paypoint Network Limited - UK,,,,,Runsheets_Warrington_Wednesday 24th July 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/07/2021,2280801,Fujitsu Services Limited - Star Trains,,,TECH EXCHANGE,ND 1900,Runsheet_DanielHanson24072021.pdf,Marked as DNCO - no payment on date with other paid jobs
24/07/2021,2281382,Fujitsu Services Limited - EE - ME,,,TECH EXCHANGE,ND 1900,Runsheet_DanielHanson24072021.pdf,Marked as DNCO - no payment on date with other paid jobs
24/07/2021,2281676,Symec Travis Perkins,"TRAVIS PERKINS TRADING CO, LTD, TRAVIS PERKINS TRADING CO, LTD, BARROW-IN-FURNESS",LA14 5UJ,TECH EXCHANGE,,Runsheet_DanielHanson24072021.pdf,Marked as DNCO - no payment on date with other paid jobs
24/06/2024,3824661,Fujitsu Services Limited - Star Trains - ME,,,TECH EXCHANGE,,Runsheets_Warrington_Monday 24th June 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/06/2022,2753343,Computacenter Network Rail,"0Paul Ellis, INFRASTRUCTURE LTD (00, 42 Wayland drive, 42 Wayland drive",L25 0NA,TECH EXCHANGE,ND 1700,Runsheet_DanielHanson24062022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/05/2024,3787825,Computacenter - Astra Zeneca,"ASTRA ZENECA, PLOT 6 RENAISSANCE WAY,, BOULEVARD INDUSTRY PARK,, SPEKE, LIVERPOOL",L24 9JW,DELIVERY,ND 1700,Runsheets_Warrington_Friday 24th May 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/05/2024,3787858,Computacenter - Astra Zeneca,"ASTRA ZENECA, PLOT 6 RENAISSANCE WAY, BOULEVARD INDUSTRY PARK,, SPEKE, LIVERPOOL",L24 9JW,DELIVERY,ND 1700,Runsheets_Warrington_Friday 24th May 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/04/2024,3749655,Fujitsu Services Limited - Banks,"RBSG, ECCLES",M30 9NW,TECH EXCHANGE,,Runsheets_Warrington_Wednesday 24th April 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/04/2023,3237033,DHL Supply Chain Limited - RBS,"0Umair Shakeel, HOME ADDRESS, 12 Chepstow Close  ,  ,, Rochdale",OL11 5TR,COLLECTION,ND 1400,Runsheet_Daniel_Hanson_24042023.pdf,Marked as DNCO - no payment on date with other paid jobs
24/04/2023,3237035,DHL Supply Chain Limited - RBS,"HOME ADDRESS, 21 AIRE DRIVE ,  ,, BOLTON",BL2 3FX,COLLECTION,ND 1400,Runsheet_Daniel_Hanson_24042023.pdf,Marked as DNCO - no payment on date with other paid jobs
24/03/2022,2615475,Fujitsu Services Limited - Star Trains - P2PE,,,TECH EXCHANGE,ND 1900,Runsheet_DanielHanson24032022.pdf,Marked as DNCO - no payment on date with other paid jobs
24/01/2024,3632434,HCL Barclays,"BARCLAYS BANK PLC, 46-50 LORD STREET, LIVERPOOL",L2 1TD,TECH EXCHANGE,,RUN SHEETS - MANCHESTER - WEDNESDAY 24th JANUARY 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
24/01/2022,2520593,Lexmark Service Provider,"5 Jessica Molineux, Cuerdale Lane, Salmesbury, Print room - Grd Floor, PRESTON",PR5 0XD,REPAIR WITH PARTS,,Runsheet_DanielHanson24012022.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2024,4048186,Computacenter - Kingfisher,"1Simone McElwee, -KINGFISHER INFORMATION, TECHNOLOGY (, Snipe Retail Park Manchester, Road, Snipe Retail Park Manchester, Road",OL7 0DN,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - MONDAY 23rd DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2024,4048453,Computacenter - Kingfisher,"1Laura Cochrane, -KINGFISHER INFORMATION, TECHNOLOGY (, Bridgehall Industrial Park Bridgeha, ll Lane Heapbridge, Bridgehall Industrial Park Bridgeha, ll Lane Heapbridge",BL9 7PJ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - MONDAY 23rd DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2024,4048694,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, THREE TUNS LANE SEFTON, FORMBY, WR749 FORMBY, MERSEYSIDE, Incident INC6488458 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.INC6488458, PART, PART",L37 4AJ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - MONDAY 23rd DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2024,4048696,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, CHURCH STREET WILMSLOW, WR711 WILMSLOW, CHESHIRE",SK9 1AY,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - MONDAY 23rd DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2023,3594649,Fujitsu Services Limited - Star Trains - ME,"(Llandudno Junction), Conwy Road, Gwynedd, Llandudno Junction",LL31 9NB,TECH EXCHANGE,ND 1900,Runsheets_Manchester_Saturday 23rd December 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2022,3051933,HCL Barclays,"Barclays Bank Plc, 31 High Street, Northwich, Cheshire",CW9 5BW,TECH EXCHANGE,ND 1600,Runsheet_Daniel_Hanson_23122022.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2022,3052157,Fujitsu Services Limited - Wilko (ME),,,TECH EXCHANGE,ND 1900,Runsheet_Daniel_Hanson_23122022.pdf,Marked as DNCO - no payment on date with other paid jobs
23/12/2022,3052374,CXM,"BYLEY LANE, CRANAGE",CW4 8EW,TECH EXCHANGE,,Runsheet_Daniel_Hanson_23122022.pdf,Marked as DNCO - no payment on date with other paid jobs
23/11/2024,4019042,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE LTD THE PARADE, LONDON, WR560 ALDERLEY EDGE, ALDERLEY EDGE",SK9 7JX,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 23rd NOVEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
23/11/2024,4019551,DieboldNixdorf_WIPRO,"CHEADLE WILMSLOW ROAD, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE",SK8 3BZ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 23rd NOVEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
23/11/2023,3552239,Xerox (UK) Technical***DO NOT INVOICE****,"30 Hope Street, Vision Express, WREXHAM",LL11 1BD,CONSUMABLE INSTALL,ND 1700,Runsheets_Manchester_Thursday 23rd November 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
23/11/2021,2438778,Computacenter - Kingfisher,"SCREWFIX, UNIT C1-C3, CHESTER",CH1 4LT,TECH EXCHANGE,,Runsheet_23-11_runs.pdf,Marked as DNCO - no payment on date with other paid jobs
23/11/2021,2439397,Lantec,"2TOMOWEN, CHESTER ZOO FOOD OUTLET, CEDAR HOUSE, CAUGHALL ROAD, CHESTER, open 8am - 5pm, s/n - 191397313011101004621686 <BR> <a, href=""https://new.lantecuk.net/popups/jobinfo.aspx?jobid=5184961"">Other Info</a>",CH2 1LH,TECH EXCHANGE,ND 1700,Runsheet_23-11_runs.pdf,Marked as DNCO - no payment on date with other paid jobs
23/10/2024,3979614,Computacenter Limited,"(0081, HOUSE 11 PORT LAND STREET, HOUSE 11 PORT LAND STREET",M1 3HU,TECH EXCHANGE,ND 1300,RUN SHETS - WARRINGTON - WEDNESDAY 23rd OCTOBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
