Job Number,Client,Location,Postcode,Job Type,Date,Time,Amount,Rate,Units,Agency,Week Number,Tax Year,Pay Date
3894209,Paypoint Network Limited - UK,PREMIER STORE,M21 7NN,TECH EXCHANGE,16/08/24,11:49,35.0,35.0,1.0,Rico,22,2024,
3892684,Xerox (UK) Technical***DO NOT INVOICE****,SAICA PAPER UK LTD.,WN3 6XD,REPAIR WITH PARTS,15/08/24,09:00,30.0,30.0,1.0,Rico,22,2024,
3891203,NEBULA GLOBAL SERVICES LTD,KIER CONSTRUCTION SITE CABINS,LA1 3QZ,MANPOWER,14/08/24,08:53,100.0,100.0,1.0,Rico,22,2024,
3889984,Verifone UK LTD,"STONEGATE - THE BREWERS, MANCH",M1 3HE,TECH EXCHANGE,13/08/24,09:00,15.0,15.0,1.0,Rico,22,2024,
3879679,Paypoint Network Limited - UK,MORRISONS DAILY,M33 2HZ,TECH EXCHANGE,05/08/24,14:17,40.0,40.0,1.0,Rico,21,2024,
3873614,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,L31 2PQ,REPAIR WITH PARTS,31/07/24,11:05,50.0,50.0,1.0,Rico,20,2024,
3872035,Xerox (UK) Technical***DO NOT INVOICE****,Flint Ink (UK) Ltd,LL14 6HU,REPAIR WITH PARTS,31/07/24,09:00,50.0,50.0,1.0,Rico,20,2024,
3868861,Paypoint Network Limited - UK,BP MATRIX,PR7 7NA,TECH EXCHANGE,27/07/24,11:56,50.0,50.0,1.0,Rico,19,2024,
3866110,Computacenter Limited - HSBC,COMPUTACENTER HSBC,M1 4BP,TECH EXCHANGE,25/07/24,09:00,15.0,15.0,1.0,Rico,19,2024,
3861250,Paypoint Network Limited - UK,R S STORE,L4 9UF,TECH EXCHANGE,22/07/24,09:27,25.0,25.0,1.0,Rico,19,2024,
3861248,Paypoint Network Limited - UK,CO-OPERATIVE RETAIL SERVICES L,L15 0EE,TECH EXCHANGE,22/07/24,09:25,25.0,25.0,1.0,Rico,19,2024,
3861212,Fujitsu Services Limited - Telefonica TC,O2 ORMSKIRK 0616,L39 3AN,TECH EXCHANGE,22/07/24,08:19,35.0,35.0,1.0,Rico,19,2024,
3858763,Paypoint Network Limited - UK,SINGH STORES,WN8 9LX,TECH EXCHANGE,19/07/24,11:03,40.0,40.0,1.0,Rico,18,2024,
3858740,Paypoint Network Limited - UK,PREMIER STORES,BL6 6DT,TECH EXCHANGE,19/07/24,10:43,25.0,25.0,1.0,Rico,18,2024,
3857563,Fujitsu Services Limited - Banks,RBSG,BL6 4SD,TECH EXCHANGE,18/07/24,14:42,15.0,15.0,1.0,Rico,18,2024,
3857458,Fujitsu Services Limited - Telefonica TC,O2 BURY 0380,BL9 0QQ,TECH EXCHANGE,18/07/24,12:40,25.0,25.0,1.0,Rico,18,2024,
3857455,Fujitsu Services Limited - Telefonica TC,O2 BURY 0380,BL9 0QQ,TECH EXCHANGE,18/07/24,12:39,25.0,25.0,1.0,Rico,18,2024,
3857267,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL,BL9 7PJ,MANPOWER,19/07/24,08:00,15.0,15.0,1.0,Rico,18,2024,
3857207,Xerox (UK) Technical***DO NOT INVOICE****,ASDA STORES LIMITED,OL16 4NZ,REPAIR WITH PARTS,19/07/24,08:00,32.42,32.42,1.0,Rico,18,2024,
3857157,CXM,THE LORD NELSON,WN2 3LQ,TECH EXCHANGE,18/07/24,08:21,15.0,15.0,1.0,Rico,18,2024,
3855921,POSTURITE LIMITED,2 HUNTERS CROFT,CH4 9PD,DESK INSTALL,17/07/24,09:00,48.36,48.36,1.0,Rico,18,2024,
3855821,Fujitsu Services Limited - Telefonica ME,O2 LLANDUDNO 0462,LL30 2NG,MANPOWER,17/07/24,10:47,35.0,35.0,1.0,Rico,18,2024,
3854528,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,M9 6HP,REPAIR,17/07/24,09:00,60.0,60.0,1.0,Rico,18,2024,
3853290,Computacenter Limited - HSBC,COMPUTACENTER HSBC,CH99 9FB,TECH EXCHANGE,16/07/24,09:00,15.0,15.0,1.0,Rico,18,2024,
3852584,Fujitsu Services Limited - Telefonica ME,O2 BIRKENHEAD 0109,CH41 2YB,TECH EXCHANGE,15/07/24,10:00,45.0,45.0,1.0,Rico,18,2024,
3849907,CXM - KYC,SUNLIGHT,CH63 7RE,MANPOWER,12/07/24,13:00,55.64,55.64,1.0,Rico,17,2024,
3849790,Engineer Adjustments,Manchester depot m50 1de,,ENGINEER DAY RATE,12/07/24,09:00,25.0,25.0,1.0,Rico,17,2024,
3845569,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,M2 2AW,REPAIR WITH PARTS,,,35.0,35.0,1.0,Rico,17,2024,
3843863,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,CH41 4PP,MANPOWER,08/07/24,09:40,60.0,60.0,1.0,Rico,17,2024,
3841108,Paypoint Network Limited - UK,GILL SUPERSTORE,M20 4RQ,TECH EXCHANGE,05/07/24,09:13,25.0,25.0,1.0,Rico,16,2024,
3839898,Paypoint Network Limited - UK,SPAR WARTON,PR4 1AH,TECH EXCHANGE,04/07/24,13:04,25.0,25.0,1.0,Rico,16,2024,
3838289,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,M32 0RW,REPAIR WITH PARTS,03/07/24,09:00,45.0,45.0,1.0,Rico,16,2024,
3837085,Xerox (UK) Technical***DO NOT INVOICE****,ASDA STORES LIMITED,OL16 4NZ,CONSUMABLE INSTALL,03/07/24,09:00,20.0,20.0,1.0,Rico,16,2024,
3837075,Xerox (UK) Technical***DO NOT INVOICE****,ASDA STORES LIMITED,OL16 4NZ,CONSUMABLE INSTALL,03/07/24,09:00,20.0,20.0,1.0,Rico,16,2024,
3834543,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL,SK8 6PT,TECH EXCHANGE,01/07/24,08:00,15.0,15.0,1.0,Rico,16,2024,
3833218,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,WA8 0PB,REPAIR,29/06/24,09:00,40.0,40.0,1.0,Rico,15,2024,
3827400,Engineer Adjustments,Manchester depot m50 1de,,ENGINEER DAY RATE,25/06/24,09:00,35.0,35.0,1.0,Rico,15,2024,
3820220,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,SK15 2BJ,REPAIR WITH PARTS,19/06/24,12:25,40.0,40.0,1.0,Rico,14,2024,
3818810,Fujitsu Services Limited - Telefonica TC,O2 ASHTON UNDER LYNE,OL6 6BU,TECH EXCHANGE,18/06/24,12:20,35.0,35.0,1.0,Rico,14,2024,
3817659,Computacenter Limited,LLOYDS BANKING GROUP PLC (008102783,M40 9WB,NON TECH EXCHANGE,18/06/24,09:00,20.0,20.0,1.0,Rico,14,2024,
3817051,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Manchester),M3 1WY,TECH EXCHANGE,,,30.0,30.0,1.0,Rico,14,2024,
3814676,Paypoint Network Limited - UK,ALL IN ONE,L11 1EW,TECH EXCHANGE,14/06/24,10:21,35.0,35.0,1.0,Rico,13,2024,
3813721,Computacenter PwC NON TECH EXCHANGE,PRICEWATERHOUSE COOPER LLP (0081073,M3 3EB,NON TECH EXCHANGE,,,20.0,20.0,1.0,Rico,13,2024,
3813251,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,M20 5WP,TECH EXCHANGE,13/06/24,08:52,30.0,30.0,1.0,Rico,13,2024,
3811909,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,L8 4XF,REPAIR WITH PARTS,12/06/24,11:05,45.0,45.0,1.0,Rico,13,2024,
3811905,Fujitsu Services Limited - Star Trains - ME,FIRST TRANSPENNINE (MANCHESTER PICADILLY) MT,M60 7RA,TECH EXCHANGE,,,42.48,42.48,1.0,Rico,13,2024,
3811864,Paypoint Network Limited - UK,EARLESTOWN CONVENIENCE AND POS,WA12 9SE,TECH EXCHANGE,12/06/24,09:46,30.0,30.0,1.0,Rico,13,2024,
3807832,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,L24 8QB,REPAIR WITH PARTS,09/06/24,12:50,50.0,50.0,1.0,Rico,13,2024,
3806229,Paypoint Network Limited - UK,NISA LOCAL,M14 7LA,TECH EXCHANGE,07/06/24,13:04,25.0,25.0,1.0,Rico,12,2024,
3806167,Paypoint Network Limited - UK,CRUNCH CONVENIENE,M8 8PZ,TECH EXCHANGE,07/06/24,11:39,30.0,30.0,1.0,Rico,12,2024,
3804964,CXM,ARCANE,M2 6DQ,TECH EXCHANGE,06/06/24,09:00,28.0,28.0,1.0,Rico,12,2024,
3804883,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,M1 6FU,TECH EXCHANGE,06/06/24,13:05,40.0,40.0,1.0,Rico,12,2024,
3800052,Fujitsu Services Limited - Star Trains,FIRST TRANSPENNINE EXPRESS (STALYBRIDGE),SK15 1RF,TECH EXCHANGE,,,45.0,45.0,1.0,Rico,12,2024,
3797268,Paypoint Network Limited - UK,COLNE LOCAL STORE,BB8 0QG,TECH EXCHANGE,31/05/24,09:19,50.0,50.0,1.0,Rico,11,2024,
3796394,Computacenter - Kingfisher,KINGFISHER INFORMATION TECHNOL,FY8 3HE,TECH EXCHANGE,31/05/24,09:00,15.0,15.0,1.0,Rico,11,2024,
3794596,COCKTAIL MACHINE UK LTD,YOTEL,M3 2BY,COLLECTION,29/05/24,14:28,30.0,30.0,1.0,Rico,11,2024,
3789326,Paypoint Network Limited - UK,GO LOCAL EXTRA,M40 7RA,TECH EXCHANGE,24/05/24,13:59,38.0,38.0,1.0,,10,2024,
3786056,Paypoint Network Limited - UK,SPAR STORES,LL34 6DA,TECH EXCHANGE,22/05/24,10:16,30.0,30.0,1.0,,10,2024,
3785120,Computacenter Limited,LLOYDS BANKING GROUP PLC (008102783,CH1 5LE,NON TECH EXCHANGE,22/05/24,09:00,13.0,13.0,1.0,,10,2024,
3785104,Centrex Services,ROYAL MAIL,LL18 1AA,TECH EXCHANGE,21/05/24,17:53,15.0,15.0,1.0,,10,2024,
3784791,HCL Barclays,BARCLAYS,LL18 1EU,PROJECT,21/05/24,13:41,20.0,20.0,1.0,,10,2024,
3784456,Xerox (UK) Technical***DO NOT INVOICE****,SAICA PAPER UK LTD.,CH5 2UA,REPAIR WITH PARTS,22/05/24,09:00,30.0,30.0,1.0,,10,2024,
3784394,Fujitsu Services Limited - Star Trains - ME,TRANSPORT FOR WALES (Chester),CH1 3NS,TECH EXCHANGE,,,32.0,32.0,1.0,,10,2024,
3784344,Xerox (UK) Technical***DO NOT INVOICE****,CURRYS GROUP LIMITED,LL18 5JA,CONSUMABLE INSTALL,22/05/24,09:00,20.0,20.0,1.0,,10,2024,
3784269,POSTURITE LIMITED,PRIVATE ADDRESS,M20 4QJ,DESK INSTALL,21/05/24,01:12,48.14,48.14,1.0,,10,2024,
3781987,Fujitsu Services Limited - Telefonica ME,O2 AINTREE 0679,L9 5AY,TECH EXCHANGE,19/05/24,16:49,31.0,31.0,1.0,,10,2024,
3780648,Computacenter Limited,LLOYDS BANK PLC,L11 1BZ,NON TECH EXCHANGE,20/05/24,09:00,12.0,12.0,1.0,,10,2024,
3780431,Smart Capital Technology Ltd,ASDA STORES LTD,L24 9WA,TECH EXCHANGE,17/05/24,14:27,12.0,12.0,1.0,,10,2024,
3780308,Xerox (UK) Technical***DO NOT INVOICE****,LIVERPOOL WOMEN......S NHS FOUNDATION TR,L8 7SS,REPAIR WITH PARTS,,,30.0,30.0,1.0,,10,2024,
3780231,Computacenter - Astra Zeneca,ASTRA ZENECA RECEPTION,L24 9JW,DELIVERY,17/05/24,10:44,10.0,10.0,1.0,,10,2024,
3781320,Paypoint Network Limited - UK,MORRISONS DAILY,M9 0RB,TECH EXCHANGE,18/05/24,12:12,62.0,62.0,1.0,Rico,9,2024,
3768097,Fujitsu Services Limited - Telefonica TC,O2 STOCKPORT 0100,SK1 1QW,TECH EXCHANGE,08/05/24,10:37,35.0,35.0,1.0,Rico,8,2024,
3768031,Paypoint Network Limited - UK,OM CONVENIENCE STORE,M30 0HJ,TECH EXCHANGE,08/05/24,09:29,25.0,25.0,1.0,Rico,8,2024,
3766254,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL,M41 7LG,MANPOWER,07/05/24,08:00,15.0,15.0,1.0,Rico,8,2024,
3762660,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,M25 3TG,REPAIR,03/05/24,09:00,45.0,45.0,1.0,Rico,7,2024,
3761598,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,M25 3TG,REPAIR WITH PARTS,02/05/24,09:00,60.0,60.0,1.0,Rico,7,2024,
3759853,Computacenter - Astra Zeneca,ASTRA ZENECA,L24 9JW,DELIVERY,01/05/24,09:00,10.0,10.0,1.0,Rico,7,2024,
3759789,Fujitsu Services Limited - Telefonica ME,O2 MANCHESTER - MARKET STREET 0323,M1 1WR,TECH EXCHANGE,01/05/24,09:16,48.52,48.52,1.0,Rico,7,2024,
3759679,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L9 5BE,TECH EXCHANGE,01/05/24,07:20,50.0,50.0,1.0,Rico,7,2024,
3756423,Fujitsu Services Limited - Star Trains - ME,FIRST TRANSPENNINE EXPRESS (MANCHESTER AIRPORT),M90 3RR,MANPOWER,,,30.0,30.0,1.0,Rico,7,2024,
3756337,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,SK5 8JE,TECH EXCHANGE,29/04/24,09:04,25.0,25.0,1.0,Rico,7,2024,
3753818,Paypoint Network Limited - UK,CRUNCH CONVENIENE,M8 8PZ,TECH EXCHANGE,26/04/24,11:21,30.0,30.0,1.0,Rico,6,2024,
3750870,Smart Capital Technology Ltd,ASDA STORES LTD,LL13 8HL,TECH EXCHANGE,24/04/24,11:51,13.0,13.0,1.0,Rico,6,2024,
3747633,Paypoint Network Limited - UK,HANDLEYS NEWS AND CONVENIENCE,CW8 2NR,TECH EXCHANGE,22/04/24,09:23,35.0,35.0,1.0,Rico,6,2024,
3747605,Paypoint Network Limited - UK,CO-OP - HEATON MOOR ROAD,SK4 4DU,TECH EXCHANGE,22/04/24,09:04,35.0,35.0,1.0,Rico,6,2024,
3747574,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,M3 4LG,MANPOWER,22/04/24,07:48,50.0,50.0,1.0,Rico,6,2024,
3743489,Fujitsu Services Limited - Telefonica TC,O2 OLDHAM 0171,OL1 1HE,TECH EXCHANGE,18/04/24,09:50,30.0,30.0,1.0,Rico,5,2024,
3734432,Fujitsu Services Limited - Telefonica ME,O2 OLDHAM 0171,OL1 1HE,TECH EXCHANGE,11/04/24,09:55,35.0,35.0,1.0,Rico,4,2024,
3734426,Hemmersbach UK Ltd - PM Kit,LITTLE HEATONS CE PRIMARY,M24 4PU,MAINT KIT INSTALL,11/04/24,09:00,20.0,20.0,1.0,Rico,4,2024,
3733047,CXM,LA CAPILLA,SK1 1ES,TECH EXCHANGE_R,10/04/24,09:00,14.0,14.0,1.0,Rico,4,2024,
3728073,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,SK7 1AL,REPAIR WITH PARTS,08/04/24,09:00,35.0,35.0,1.0,Rico,4,2024,
3725366,Xerox (UK) Technical***DO NOT INVOICE****,SAICA PAPER UK LTD.,WN3 6XD,CONSUMABLE INSTALL,05/04/24,09:00,20.0,20.0,1.0,Rico,3,2024,
3722757,Computacenter Limited,LLOYDS BANKING GROUP PLC (008102783,OL4 4NE,NON TECH EXCHANGE,03/04/24,09:00,10.0,10.0,1.0,Rico,3,2024,
3722706,Xerox (UK) Technical***DO NOT INVOICE****,SAICA PAPER UK LTD.,M31 4QN,REPAIR WITH PARTS,03/04/24,09:00,30.0,30.0,1.0,Rico,3,2024,
3722554,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,M33 7XN,CONSUMABLE INSTALL,03/04/24,09:00,20.0,20.0,1.0,Rico,3,2024,
3722409,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL,M41 7LG,MANPOWER,03/04/24,08:00,15.0,15.0,1.0,Rico,3,2024,
3722158,Computacenter Limited - HSBC,COMPUTACENTER HSBC,OL1 1RT,TECH EXCHANGE,02/04/24,12:09,15.0,15.0,1.0,Rico,3,2024,
3722138,Xerox (UK) Technical***DO NOT INVOICE****,Wm Morrison Supermarkets plc,OL16 4AT,REPAIR WITH PARTS,,,30.0,30.0,1.0,Rico,3,2024,
3721840,Fujitsu Services Limited - Star Trains - ME,Northern Rail MT (Liverpool),L1 1JD,MANPOWER,02/04/24,07:23,25.0,25.0,1.0,Rico,3,2024,
3720942,Paypoint Network Limited - UK,HADFIELD STORES,SK13 2DT,TECH EXCHANGE,01/04/24,09:54,45.0,45.0,1.0,Rico,3,2024,
3720387,Fujitsu GBL - H&M * DO NOT INVOICE*,H&M SHIFTSTORE MONKI,M4 3AQ,MANPOWER,03/04/24,09:00,15.0,15.0,1.0,Rico,3,2024,
3720377,Xerox (UK) Technical***DO NOT INVOICE****,Pets At Home,BL9 7AZ,CONSUMABLE INSTALL,03/04/24,09:00,20.0,20.0,1.0,Rico,3,2024,
3717978,HCL Barclays,36 PARKHILLS ROAD,BL9 9AT,COLLECTION,28/03/24,14:57,10.0,10.0,1.0,Rico,3,2024,
3717970,HCL Barclays,36 PARKHILLS ROAD,BL9 9AT,IMAC COLLECTION,28/03/24,14:52,10.0,10.0,1.0,Rico,3,2024,
3716352,Paypoint Network Limited - UK,BROADWATER STORES,FY7 8AS,TECH EXCHANGE,27/03/24,12:32,45.0,45.0,1.0,Rico,2,2024,
3713305,Paypoint Network Limited - UK,STEVE'S GENERAL STORE,L4 6TQ,TECH EXCHANGE,25/03/24,12:25,35.0,35.0,1.0,Rico,2,2024,
3711563,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,L39 0HD,REPAIR WITH PARTS,,,60.0,60.0,1.0,Rico,1,2024,
3711526,Fujitsu Services Limited - Star Trains - ME,FIRST TRANSPENNINE EXPRESS (MANCHESTER AIRPORT),M90 3RR,TECH EXCHANGE,,,35.0,35.0,1.0,Rico,1,2024,
3710405,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,L39 0HD,REPAIR,22/03/24,09:00,35.0,35.0,1.0,Rico,1,2024,
3706070,Paypoint Network Limited - UK,WELCOME NEWS,BL8 1AX,TECH EXCHANGE,19/03/24,11:53,24.0,24.0,1.0,Rico,1,2024,
3704486,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,BL1 8TJ,REPAIR WITH PARTS,,,50.0,50.0,1.0,Rico,1,2024,
3702748,Paypoint Network Limited - UK,SPAR PENKETH,WA5 2EY,TECH EXCHANGE,16/03/24,12:00,35.0,35.0,1.0,Rico,52,2023,
3702737,Paypoint Network Limited - UK,CO-OPERATIVE RETAIL SERVICES LTD,BB4 5QB,TECH EXCHANGE,16/03/24,11:11,35.0,35.0,1.0,Rico,52,2023,
3702081,Vista Retail Support Limited,SUPERDRUG STORES PLC,M8 8EP,TECH EXCHANGE,15/03/24,17:08,25.5,25.5,1.0,Rico,52,2023,
3702062,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL,WN5 0XN,TECH EXCHANGE,16/03/24,08:00,15.0,15.0,1.0,Rico,52,2023,
3701897,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL,PR8 6JU,TECH EXCHANGE,16/03/24,08:00,15.0,15.0,1.0,Rico,52,2023,
3700205,Fujitsu Services Limited - Telefonica ME,O2 MANCHESTER - MARKET STREET 0323,M1 1WR,TECH EXCHANGE,14/03/24,11:47,50.0,50.0,1.0,Rico,52,2023,
3698763,Paypoint Network Limited - UK,SPAR STORES,M1 1PX,TECH EXCHANGE,13/03/24,09:00,30.0,30.0,1.0,Rico,52,2023,
3698614,Fujitsu Services Limited - Star Trains,Northern Rail - STAR,BL6 4RT,TECH EXCHANGE,13/03/24,10:54,30.0,30.0,1.0,Rico,52,2023,
3695855,Vista Retail Support Limited,ERNEST JONES,M4 3AJ,TECH EXCHANGE,11/03/24,16:26,15.0,15.0,1.0,Rico,52,2023,
3695779,Computacenter Limited - HSBC,COMPUTACENTER HSBC,M2 7HD,TECH EXCHANGE,11/03/24,15:33,15.0,15.0,1.0,Rico,52,2023,
3695762,Verifone UK LTD,PIZZA EXPRESS - 3332 - MANCHES,M1 6FQ,TECH EXCHANGE,11/03/24,15:29,15.0,15.0,1.0,Rico,52,2023,
3695683,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Manchester),M3 1WY,TECH EXCHANGE,,,30.0,30.0,1.0,Rico,52,2023,
3695682,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Manchester),M60 7RA,TECH EXCHANGE,,,30.0,30.0,1.0,Rico,52,2023,
3695589,GE Medical Systems Ltd,SALFORD ROYAL NHS FOUNDATION TRUST,M6 8HD,NON TECH EXCHANGE,11/03/24,13:15,15.0,15.0,1.0,Rico,52,2023,
3695558,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,WA6 0DJ,REPAIR WITH PARTS,12/03/24,09:00,40.0,40.0,1.0,Rico,52,2023,
3695426,Secure Retail Limited,27 MARKET STREET,M1 1WR,TECH EXCHANGE,11/03/24,11:21,15.0,15.0,1.0,Rico,52,2023,
3694442,Paypoint Network Limited - UK,THE CO-OP CAPESTHORNE ROAD,WA2 9LN,TECH EXCHANGE,11/03/24,08:00,25.0,25.0,1.0,Rico,52,2023,
3693155,Computacenter Limited,HALIFAX PLC,OL16 1EJ,TECH EXCHANGE,08/03/24,09:00,20.0,20.0,1.0,Rico,51,2023,
3693125,Computacenter Limited,LLOYDS BANKING GROUP PLC (008102783,OL16 1EJ,NON TECH EXCHANGE,09/03/24,09:00,20.0,20.0,1.0,Rico,51,2023,
3693122,Computacenter Limited,HALIFAX PLC,OL1 3BX,TECH EXCHANGE,08/03/24,09:00,20.0,20.0,1.0,Rico,51,2023,
3692975,Vista Retail Support Limited,NEXT,M4 3AJ,TECH EXCHANGE,08/03/24,15:49,20.0,20.0,1.0,Rico,51,2023,
3692555,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,M3 1WY,TECH EXCHANGE,08/03/24,10:15,40.0,40.0,1.0,Rico,51,2023,
3689784,Diebold Nixdorf UK Limited,BOOKER CASH & CARRY,M11 2NR,TECH EXCHANGE,06/03/24,09:00,15.0,15.0,1.0,Rico,51,2023,
3689499,Paypoint Network Limited - UK,BOARSHAW OFF LICENCE,M24 2WQ,TECH EXCHANGE,06/03/24,09:00,35.0,35.0,1.0,Rico,51,2023,
3688218,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,WA4 4NU,REPAIR,05/03/24,09:00,55.0,55.0,1.0,Rico,51,2023,
3685410,Verifone UK LTD,STONEGATE - VIA MANCHESTER - 3,M1 3EZ,TECH EXCHANGE,03/03/24,16:03,19.0,19.0,1.0,Rico,51,2023,
3685364,Verifone UK LTD,"STONEGATE - THE BREWERS, MANCH",M1 3HE,TECH EXCHANGE,03/03/24,09:12,20.0,20.0,1.0,Rico,51,2023,
3683696,CXM,ARCANE,M2 6DQ,COLLECTION,01/03/24,13:30,16.0,16.0,1.0,Rico,51,2023,
3682584,Fujitsu Services Limited - Star Trains - ME,FIRST TRANSPENNINE (MANCHESTER PICADILLY) MT,M60 7RA,MANPOWER,,,30.0,30.0,1.0,Rico,50,2023,
3682577,Fujitsu Services Limited - Star Trains - ME,FIRST TRANSPENNINE (MANCHESTER PICADILLY) MT,M60 7RA,MANPOWER,,,30.0,30.0,1.0,Rico,50,2023,
3682570,Fujitsu Services Limited - Star Trains - ME,FIRST TRANSPENNINE (MANCHESTER PICADILLY) MT,M60 7RA,MANPOWER,,,30.0,30.0,1.0,Rico,50,2023,
3682414,Xerox (UK) Technical***DO NOT INVOICE****,ASDA STORES LIMITED,M41 7ZA,REPAIR WITH PARTS,01/03/24,09:00,30.0,30.0,1.0,Rico,50,2023,
3682393,Verifone UK LTD,STONEGATE - YATES MANCHESTER P,M4 2BS,TECH EXCHANGE,29/02/24,15:32,35.0,35.0,1.0,Rico,50,2023,
3682389,Verifone UK LTD,STONEGATE - YATES MANCHESTER P,M4 2BS,TECH EXCHANGE,29/02/24,15:32,15.0,15.0,1.0,Rico,50,2023,
3682059,Paypoint Network Limited - UK,DEVINE FLOWER NEWS,CH48 4EF,TECH EXCHANGE,29/02/24,10:32,40.0,40.0,1.0,Rico,50,2023,
3682038,Fujitsu Services Limited - Star Trains - ME,TRANSPORT FOR WALES,CH1 3NS,TECH EXCHANGE,29/02/24,09:00,46.0,46.0,1.0,Rico,50,2023,
3680503,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,M1 6FU,MANPOWER,28/02/24,10:26,35.0,35.0,1.0,Rico,50,2023,
3677157,Paypoint Network Limited - UK,RAJA BROTHERS,SK3 8JS,TECH EXCHANGE,26/02/24,10:09,35.0,35.0,1.0,Rico,50,2023,
3677100,Paypoint Network Limited - UK,ESSO STALYBRIDGE S/STN,SK15 1LH,TECH EXCHANGE,26/02/24,09:13,40.0,40.0,1.0,Rico,50,2023,
3677046,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,SK5 6RS,TECH EXCHANGE,26/02/24,08:19,63.04,63.04,1.0,Rico,50,2023,
3676198,Verifone UK LTD,STONEGATE - SLUG AND LETTUCE P,M1 3HU,TECH EXCHANGE,25/02/24,15:49,14.0,14.0,1.0,Rico,50,2023,
3676196,Verifone UK LTD,"STONEGATE - THE BREWERS, MANCH",M1 3HE,TECH EXCHANGE,25/02/24,15:49,14.0,14.0,1.0,Rico,50,2023,
3676189,Verifone UK LTD,STONEGATE - BE AT ONE MANCHEST,M3 2ER,TECH EXCHANGE,25/02/24,15:49,14.0,14.0,1.0,Rico,50,2023,
3676188,Verifone UK LTD,"STONEGATE - THE BREWERS, MANCH",M1 3HE,TECH EXCHANGE,25/02/24,15:49,14.0,14.0,1.0,Rico,50,2023,
3675580,Fujitsu Services Limited - Star Trains,MERSEYRAIL,L1 1JT,TECH EXCHANGE,24/02/24,17:29,40.0,40.0,1.0,Rico,50,2023,
3675559,Paypoint Network Limited - UK,SPAR STORES,BL9 5EY,TECH EXCHANGE,24/02/24,15:41,40.0,40.0,1.0,Rico,50,2023,
3675526,Pret Tech Mahindra (UK) BAU,PRET A MANGER,M2 1WL,TECH EXCHANGE,24/02/24,12:35,15.0,15.0,1.0,Rico,50,2023,
3675515,Xerox (UK) Technical***DO NOT INVOICE****,Wm Morrison Supermarkets plc,OL14 6NU,REPAIR WITH PARTS,,,40.0,40.0,1.0,Rico,50,2023,
3674830,Xerox (UK) Technical***DO NOT INVOICE****,Whirlpool UK Appliances Limited,M16 9WB,REPAIR WITH PARTS,,,30.0,30.0,1.0,Rico,50,2023,
3674498,Xerox (UK) Technical***DO NOT INVOICE****,BRIDGEWATER COMMUNITY HEALTHCARE NH,WA3 7PG,REPAIR WITH PARTS,,,30.0,30.0,1.0,Rico,50,2023,
3674317,Verifone UK LTD,STONEGATE - VIA MANCHESTER - 3,M1 3EZ,TECH EXCHANGE,23/02/24,11:52,14.0,14.0,1.0,Rico,50,2023,
3674735,DieboldNixdorf_WIPRO,WIPRO LIMITED,SK9 1AY,TECH EXCHANGE,24/02/24,08:00,15.0,15.0,1.0,Rico,49,2023,
3674304,CXM,NIGEL DALLEY CAR SALES LIMITED,CW5 7QA,TECH EXCHANGE,23/02/24,09:00,15.0,15.0,1.0,Rico,49,2023,
